"","state","factor","value"
"115","Iowa","Murder",2.3
"116","Kansas","Murder",4.5
"117","Kentucky","Murder",10.6
"118","Louisiana","Murder",13.2
"119","Maine","Murder",2.7
"120","Maryland","Murder",8.5
"121","Massachusetts","Murder",3.3
"122","Michigan","Murder",11.1
"123","Minnesota","Murder",2.3
"124","Mississippi","Murder",12.5
"125","Missouri","Murder",9.3
"126","Montana","Murder",5
"127","Nebraska","Murder",2.9
"128","Nevada","Murder",11.5
"129","New Hampshire","Murder",3.3
"130","New Jersey","Murder",5.2
"131","New Mexico","Murder",9.7
"132","New York","Murder",10.9
"133","North Carolina","Murder",11.1
"134","North Dakota","Murder",1.4
"135","Ohio","Murder",7.4
"136","Oklahoma","Murder",6.4
"137","Oregon","Murder",4.2
"138","Pennsylvania","Murder",6.1
"139","Rhode Island","Murder",2.4
"140","South Carolina","Murder",11.6
"141","South Dakota","Murder",1.7
"142","Tennessee","Murder",11
"143","Texas","Murder",12.2
"144","Utah","Murder",4.5
"145","Vermont","Murder",5.5
"146","Virginia","Murder",9.5
"147","Washington","Murder",4.3
"148","West Virginia","Murder",6.7
"149","Wisconsin","Murder",3
"150","Wyoming","Murder",6.9
"151","Alabama","HS Grad",41.3
"152","Alaska","HS Grad",66.7
"153","Arizona","HS Grad",58.1
"154","Arkansas","HS Grad",39.9
"155","California","HS Grad",62.6
"156","Colorado","HS Grad",63.9
"157","Connecticut","HS Grad",56
"158","Delaware","HS Grad",54.6
"159","Florida","HS Grad",52.6
"160","Georgia","HS Grad",40.6
"161","Hawaii","HS Grad",61.9
"162","Idaho","HS Grad",59.5
"163","Illinois","HS Grad",52.6
"164","Indiana","HS Grad",52.9
"165","Iowa","HS Grad",59
"166","Kansas","HS Grad",59.9
"167","Kentucky","HS Grad",38.5
"168","Louisiana","HS Grad",42.2
"169","Maine","HS Grad",54.7
"170","Maryland","HS Grad",52.3
"171","Massachusetts","HS Grad",58.5
"172","Michigan","HS Grad",52.8
"173","Minnesota","HS Grad",57.6
"174","Mississippi","HS Grad",41
"175","Missouri","HS Grad",48.8
"176","Montana","HS Grad",59.2
"177","Nebraska","HS Grad",59.3
"178","Nevada","HS Grad",65.2
"179","New Hampshire","HS Grad",57.6
"180","New Jersey","HS Grad",52.5
"181","New Mexico","HS Grad",55.2
"182","New York","HS Grad",52.7
"183","North Carolina","HS Grad",38.5
"184","North Dakota","HS Grad",50.3
"185","Ohio","HS Grad",53.2
"186","Oklahoma","HS Grad",51.6
"187","Oregon","HS Grad",60
"188","Pennsylvania","HS Grad",50.2
"189","Rhode Island","HS Grad",46.4
"190","South Carolina","HS Grad",37.8
"191","South Dakota","HS Grad",53.3
"192","Tennessee","HS Grad",41.8
"193","Texas","HS Grad",47.4
"194","Utah","HS Grad",67.3
"195","Vermont","HS Grad",57.1
"196","Virginia","HS Grad",47.8
"197","Washington","HS Grad",63.5
"198","West Virginia","HS Grad",41.6
"199","Wisconsin","HS Grad",54.5
"200","Wyoming","HS Grad",62.9
"201","Alabama","Life Exp",69.05
"202","Alaska","Life Exp",69.31
"203","Arizona","Life Exp",70.55
"204","Arkansas","Life Exp",70.66
"205","California","Life Exp",71.71
"206","Colorado","Life Exp",72.06
"207","Connecticut","Life Exp",72.48
"208","Delaware","Life Exp",70.06
"209","Florida","Life Exp",70.66
"210","Georgia","Life Exp",68.54
"211","Hawaii","Life Exp",73.6
"212","Idaho","Life Exp",71.87
"213","Illinois","Life Exp",70.14
"214","Indiana","Life Exp",70.88
"215","Iowa","Life Exp",72.56
"216","Kansas","Life Exp",72.58
"217","Kentucky","Life Exp",70.1
"218","Louisiana","Life Exp",68.76
"219","Maine","Life Exp",70.39
"220","Maryland","Life Exp",70.22
"221","Massachusetts","Life Exp",71.83
"222","Michigan","Life Exp",70.63
"223","Minnesota","Life Exp",72.96
"224","Mississippi","Life Exp",68.09
"225","Missouri","Life Exp",70.69
"226","Montana","Life Exp",70.56
"227","Nebraska","Life Exp",72.6
"228","Nevada","Life Exp",69.03
"229","New Hampshire","Life Exp",71.23
"230","New Jersey","Life Exp",70.93
"231","New Mexico","Life Exp",70.32
"232","New York","Life Exp",70.55
"233","North Carolina","Life Exp",69.21
"234","North Dakota","Life Exp",72.78
"235","Ohio","Life Exp",70.82
"236","Oklahoma","Life Exp",71.42
"237","Oregon","Life Exp",72.13
"238","Pennsylvania","Life Exp",70.43
"239","Rhode Island","Life Exp",71.9
"240","South Carolina","Life Exp",67.96
"241","South Dakota","Life Exp",72.08
"242","Tennessee","Life Exp",70.11
"243","Texas","Life Exp",70.9
"244","Utah","Life Exp",72.9
"245","Vermont","Life Exp",71.64
"246","Virginia","Life Exp",70.08
"247","Washington","Life Exp",71.72
"248","West Virginia","Life Exp",69.48
"249","Wisconsin","Life Exp",72.48
"250","Wyoming","Life Exp",70.29
